condition,condition_key,trial,file,event_type,sample,time_seconds,signed_peak_uv,vertical_z,vertical_horizontal_ratio,width_seconds,velocity_z,signed_delta_uv,direction
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,502.0,2.008,-982.105659449336,-62.68907253819732,0.33838101964222783,0.6560539991251756,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,772.0,3.088,333.58635517256675,21.17050732892807,0.36796807921477603,0.6001051116046083,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,1026.0,4.104,-105.89341264250513,-6.841054860012354,0.38387951279043253,0.6422693819458127,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,1313.0,5.252,-224.1401459187271,-14.377865346814357,2.1054552777982214,0.09173876730793563,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,3117.0,12.468,-160.5495229298229,-10.324726110523748,5.599095780225601,0.19824417966536204,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,4651.0,18.604,-323.3348012031966,-20.700334454153623,4.675837555412112,0.16328582693170393,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,5546.0,22.184,-280.8883517376148,-17.99488258587746,4.030447680671926,0.13804316498682964,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,6316.0,25.264,-141.6296290506757,-9.118809882255208,6.105736542855892,0.1862226346395655,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,7789.0,31.156,-201.94424841432038,-12.96314319390365,3.1508512625628318,0.16261583270146002,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,9798.0,39.192,-79.25943695233813,-5.143458472144566,1.400128074978105,0.16451295803011454,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,9976.0,39.904,-172.0271199459963,-11.056285208674142,4.858479995958208,0.1478027109143295,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,10876.0,43.504,-177.94729971473961,-11.43362563684976,14.828149804950733,0.10985961334987224,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,12006.0,48.024,-143.4805993798017,-9.236787032243177,8.961361852243915,0.13851650297003654,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,12389.0,49.556,-131.28402763915392,-8.459401921880625,23.237451877393816,0.09700351913561463,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,12548.0,50.192,-114.49781131617506,-7.389482037318413,12.942110956162365,0.14805303712921158,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,13250.0,53.0,-207.05464549880085,-13.288869691971566,4.68230771232487,0.12178811567902449,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,13559.0,54.236,-111.20511017977007,-7.179611846682438,2.7978908455014615,0.08209693047609472,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,13933.0,55.732,-195.48201466784258,-12.55125332837268,7.468893194467603,0.12071349229949556,,,
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,blink-like,14486.0,57.944,-154.51399037314047,-9.94003332615415,8.94648410182231,0.08858018104691291,,,
