condition,condition_key,trial,file,window_index,start_seconds,midpoint_seconds,video_repeat,eeg_exponent,eeg_r2,eeg_flag,model_flag,accepted_without_eog_screen,duration_seconds,blink_candidates,blink_rate_per_min,horizontal_saccades,horizontal_saccades_per_min,vertical_saccades,vertical_saccades_per_min,horizontal_direction_balance,vertical_direction_balance,horizontal_rms_uv,vertical_rms_uv,horizontal_drift_rms_uv,vertical_drift_rms_uv,horizontal_total_variation_uv_per_min,vertical_total_variation_uv_per_min
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,0,2.0,12.0,,0.9553323624612898,0.8871057618624818,False,False,True,20.0,6,18.0,9,27.0,3,9.0,0.11111111111111116,-0.3333333333333333,3833.3617956118073,1339.4688000695205,3856.6052941877515,1344.9616299706865,125617.91918172194,50126.84668632418
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,4,22.0,32.0,,1.1965880699632911,0.903327756210896,False,False,True,20.0,5,15.0,3,9.0,0,0.0,-0.3333333333333333,,54.26253612606528,58.923953670775674,51.604640028150634,40.57931529527718,9659.480697642768,14183.867929933569
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,8,42.0,52.0,,1.169439333829421,0.9017493914091154,False,False,True,20.0,10,30.0,6,18.0,7,21.0,0.6666666666666667,0.4285714285714286,19.25777056812807,49.62322125915146,12.357244010617153,24.139917987733625,9608.9322562231,19945.320751849475
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,12,62.0,72.0,,1.3529298548316988,0.927620616994318,False,False,True,20.0,0,0.0,11,33.0,2,6.0,0.4545454545454546,0.0,25.51226799405174,18.414670659726404,17.606547303308446,14.192407107819468,9471.725128149352,8891.869668080828
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,16,82.0,92.0,,1.3171606585268028,0.915024999757564,False,False,True,20.0,4,12.0,11,33.0,1,3.0,0.2727272727272727,1.0,36.69778956033812,36.10232602996834,24.848360539882794,21.203092245617423,11380.528003954321,12951.704591618656
Eyes closed,eyes_closed,1,OpenBCI-RAW-2026-06-05_16-34-55.txt,20,102.0,112.0,,1.096962569780575,0.9099857824045308,False,False,True,20.0,6,18.0,8,24.0,2,6.0,0.0,0.0,88.93563698133134,102.46904395166618,70.13852184788821,93.63790785196537,17455.045210106007,18320.277963481134
Nature,nature,1,OpenBCI-RAW-2026-06-05_16-06-48.txt,0,2.0,12.0,,1.605194269758328,0.885570336893953,False,False,True,20.0,11,33.0,16,48.0,13,39.0,0.5,-0.23076923076923078,3697.8820831775465,857.6796045722651,3726.4966993172407,858.5526717561097,126978.09897205039,55089.39158325031
Nature,nature,1,OpenBCI-RAW-2026-06-05_16-06-48.txt,4,22.0,32.0,,1.5028461271338638,0.8900102386874659,False,False,True,20.0,5,15.0,6,18.0,5,15.0,0.0,0.19999999999999996,128.98589010346822,82.40305594752965,118.63133302110194,58.752706905996035,12982.657328157817,20473.51021745653
Nature,nature,1,OpenBCI-RAW-2026-06-05_16-06-48.txt,8,42.0,52.0,,1.4378372629996825,0.8695445391243523,False,False,True,20.0,8,24.0,10,30.0,8,24.0,0.6000000000000001,-0.25,149.3677382280732,143.55184637636637,126.76504192247477,80.04193842494243,21206.058454108705,45509.69162243735
Nature,nature,2,OpenBCI-RAW-2026-06-05_16-09-00.txt,0,2.0,12.0,,2.0472812169684955,0.903982727865946,False,False,True,20.0,8,24.0,25,75.0,20,60.0,-0.12000000000000005,0.10000000000000003,3855.725868391053,878.4130343370514,3875.7523670302608,875.0326242611945,144132.9842450818,61308.823303293044
Nature,nature,2,OpenBCI-RAW-2026-06-05_16-09-00.txt,4,22.0,32.0,,1.1367993929745086,0.8570513206555745,False,False,True,20.0,6,18.0,13,39.0,12,36.0,0.07692307692307687,-0.3333333333333333,201.90703690240872,100.96246597302321,181.1989729677167,63.13379126541361,25011.00859922053,35186.8805105521
Nature,nature,2,OpenBCI-RAW-2026-06-05_16-09-00.txt,8,42.0,52.0,,1.5382077596065766,0.8939768260832728,False,False,True,20.0,6,18.0,12,36.0,8,24.0,0.16666666666666669,0.0,179.1760100872664,122.56916489686694,138.83745668411825,79.68814129339218,23070.881079714534,32961.32984652151
Nature,nature,2,OpenBCI-RAW-2026-06-05_16-09-00.txt,12,62.0,72.0,,1.4537520889542026,0.8879413640071516,False,False,True,20.0,13,39.0,12,36.0,6,18.0,0.16666666666666669,-0.3333333333333333,291.8970051300614,157.06909888916633,211.32022334927422,68.81491828333428,36947.90684309883,63051.95287702799
